LossAfter,AvgRewardFwd,ProcessExecTime,AvgRewardCtrl,AverageDiscountedReturn,Time,ItrTime,EnvExecTime,dLoss,Entropy,Iteration,MeanKLBefore,AveragePolicyStd,AvgRewardFlipped,MeanKL,Perplexity,AverageReturn,NumTrajs,MinReturn,PolicyExecTime,MaxReturn,StdReturn,ExplainedVariance,LossBefore,AvgRewardContact
-0.291874229908,1.81916141515,0.14263105392456055,-0.103220299098,148.342010952,15675.698557853699,11.343801975250244,10.043741703033447,0.0162908434868,2.75583,1322,0.0,0.343414,0.0,0.00640410929918,15.7342,857.344279995,40,771.222072071,0.24337053298950195,915.210288687,31.0951484527,0.95806942689,-0.275583386421,-0.00125255605795
-0.299580931664,1.7150572439,0.14758610725402832,-0.102893077807,147.396910046,15687.171649694443,11.469184160232544,10.146811962127686,0.0244370698929,2.75144,1323,0.0,0.343211,0.0,0.00640955660492,15.6651,805.451621835,40,51.0471577127,0.2476949691772461,896.134169243,146.342232334,-1.01955140351,-0.275143861771,-0.00126092241916
-0.300760000944,1.74916456132,0.14323043823242188,-0.103036343547,148.314473581,15698.577008008957,11.40130877494812,10.110354900360107,0.0259144902229,2.74845,1324,0.0,0.343063,0.0,0.00996257923543,15.6185,822.431537106,40,224.220214819,0.2445070743560791,911.667412128,128.533556206,0.798040100111,-0.274845510721,-0.00126514356507
-0.296853423119,1.78197752223,0.14375543594360352,-0.102117830733,150.848399501,15709.981887340546,11.400994062423706,10.074265241622925,0.0214100778103,2.75443,1325,0.0,0.343309,0.0,0.00641572801396,15.7121,839.304297617,40,225.254334416,0.24407505989074707,926.059962671,119.44352618,0.875899378324,-0.275443345308,-0.00125109626127
-0.313587993383,1.76218008264,0.14555931091308594,-0.103005470332,147.007559246,15721.424769163132,11.438797950744629,10.120462417602539,0.0384854674339,2.75103,1326,0.0,0.343169,0.0,0.0099522061646,15.6587,828.953156392,40,362.45506788,0.2517228126525879,916.788096284,105.355523248,0.809905819095,-0.275102525949,-0.00126829952203
-0.293460339308,1.77438334991,0.14191341400146484,-0.102699470986,147.194264953,15732.827793121338,11.399022579193115,10.09104609489441,0.0179927051067,2.75468,1327,0.0,0.343297,0.0,0.00640458846465,15.716,835.223951319,40,98.6089765969,0.2456669807434082,928.615777082,124.745874467,0.505356951143,-0.275467634201,-0.00123597628779
-0.299516111612,1.7394381093,0.15258264541625977,-0.103002071368,143.496519225,15744.262841701508,11.431194543838501,10.093388795852661,0.0240662097931,2.7545,1328,0.0,0.343324,0.0,0.00642916420475,15.7132,817.587225033,40,40.2736191375,0.24382519721984863,925.240117809,133.225090564,0.719709070252,-0.275449901819,-0.00126158786749
-0.29962003231,1.71890423791,0.1450204849243164,-0.102943351626,144.443648635,15755.702630519867,11.435534715652466,10.115187644958496,0.0246839523315,2.74936,1329,0.0,0.343103,0.0,0.00999269075692,15.6326,807.351529167,40,72.0056252165,0.24599933624267578,911.805091423,170.984842906,0.536545117155,-0.274936079979,-0.00125782794467
-0.295678108931,1.75997151016,0.14674973487854004,-0.103059674914,147.383581568,15767.118914842606,11.412185907363892,10.093822479248047,0.0196959674358,2.75982,1330,0.0,0.343531,0.0,0.00642147054896,15.797,827.830009082,40,371.22407098,0.24377870559692383,935.179522755,104.297143728,0.813526160144,-0.275982141495,-0.0012518170821
-0.294407337904,1.7230460617,0.1475389003753662,-0.102785358773,144.308179425,15778.567209720612,11.44427752494812,10.121616840362549,0.0192369818687,2.7517,1331,0.0,0.343181,0.0,0.00640825508162,15.6693,809.495591354,40,51.2385904211,0.25231122970581055,918.412014621,172.52557447,0.718915714517,-0.275170356035,-0.00126952021945
-0.298826396465,1.75276251582,0.14407873153686523,-0.103096922158,148.129416446,15789.94608950615,11.374972343444824,10.080080270767212,0.0236103236675,2.75216,1332,0.0,0.343185,0.0,0.00998688302934,15.6765,824.20112658,40,215.030911168,0.24657511711120605,922.618923893,129.775521102,0.891229494209,-0.275216072798,-0.00126334050316
-0.295767396688,1.75690072134,0.1444568634033203,-0.103103540187,150.093623005,15801.419700145721,11.469738483428955,10.107728242874146,0.020126670599,2.75641,1333,0.0,0.343342,0.0,0.00642564706504,15.7432,826.260274293,40,127.365437428,0.25745558738708496,918.771674259,121.211172526,0.849065414858,-0.275640726089,-0.00127663256983
-0.299966454506,1.76751622032,0.141984224319458,-0.103368527418,147.600074931,15812.807073116302,11.381569862365723,10.082573890686035,0.0246831774712,2.75283,1334,0.0,0.343153,0.0,0.00998647883534,15.687,831.441754767,40,310.019371388,0.24554705619812012,915.860201471,93.7339081872,0.861445117393,-0.275283277035,-0.00126418337122
-0.296461194754,1.73969454064,0.14455699920654297,-0.103393621176,145.624707604,15824.233694314957,11.422770738601685,10.112919092178345,0.0208494663239,2.75612,1335,0.0,0.343256,0.0,0.00642592692748,15.7386,817.51800711,40,34.759317899,0.2429981231689453,952.118234486,183.484921552,0.54356193278,-0.27561172843,-0.00126490524202
-0.293488830328,1.78717835195,0.1472916603088379,-0.103526152636,147.016864058,15835.655552864075,11.417952060699463,10.106755018234253,0.0186564028263,2.74832,1336,0.0,0.342936,0.0,0.00641046604142,15.6164,841.195025728,40,585.626440438,0.24540257453918457,935.53631255,58.2884446671,0.898464438938,-0.274832427502,-0.00126214785377
-0.299300730228,1.78673388437,0.14381647109985352,-0.102966259607,151.528576792,15847.038463830948,11.378787517547607,10.076051235198975,0.0252271294594,2.74074,1337,0.0,0.3426,0.0,0.00998853612691,15.4984,841.250113049,40,225.131396768,0.24414801597595215,913.554735648,103.059245131,0.891820019869,-0.274073600769,-0.0012673986635
-0.303669035435,1.741837076,0.15179681777954102,-0.10228971832,148.265787477,15858.491216659546,11.44872760772705,10.117172718048096,0.0299307107925,2.73738,1338,0.0,0.342456,0.0,0.00643680943176,15.4465,819.14676979,40,201.355006742,0.24706530570983887,906.047142139,135.073789868,0.671770776119,-0.273738324642,-0.00125381809594
-0.289408504963,1.83656098936,0.14569830894470215,-0.102964128192,152.49775243,15869.87783908844,11.382341861724854,10.07019853591919,0.0163167715073,2.73092,1339,0.0,0.342213,0.0,0.00641909847036,15.3469,866.164656772,40,742.541137916,0.24377918243408203,931.226693547,37.1530139544,0.941701206713,-0.273091733456,-0.00126754762429
-0.292329132557,1.76212260769,0.14433908462524414,-0.102523353844,149.495003044,15881.304485082626,11.422274589538574,10.121755838394165,0.0196686983109,2.7266,1340,0.0,0.341998,0.0,0.00643181242049,15.2809,829.171033548,40,199.005117439,0.24688482284545898,933.015992671,117.155289309,0.789431337981,-0.272660434246,-0.00125718675168
-0.28962752223,1.79575365405,0.1457231044769287,-0.103612679951,148.767065139,15892.718375444412,11.409794330596924,10.093647241592407,0.0179201364517,2.71707,1341,0.0,0.341587,0.0,0.00641783885658,15.136,845.440098789,40,462.563325155,0.24550962448120117,929.652167182,68.3223017502,0.915281973638,-0.271707385778,-0.00126077652498
-0.289274156094,1.73531124148,0.14711856842041016,-0.103004705251,147.1343763,15904.18446969986,11.46217131614685,10.114614963531494,0.0184394419193,2.70835,1342,0.0,0.341221,0.0,0.00641034310684,15.0044,815.521930013,40,121.543755466,0.24466562271118164,895.574532201,143.161914193,0.862139037389,-0.270834714174,-0.0012626762003
-0.288271963596,1.72293920537,0.1531829833984375,-0.102629725886,145.877017077,15915.681259393692,11.490906953811646,10.140998840332031,0.0183988809586,2.69873,1343,0.0,0.3408,0.0,0.00640693493187,14.8609,809.525097268,40,61.6464434133,0.24850249290466309,919.939348438,172.986327587,0.8555219752,-0.269873082638,-0.00125928494446
