Entropy,AvgRewardFwd,ExplainedVariance,AverageDiscountedReturn,NumTrajs,Perplexity,AveragePolicyStd,Time,LossAfter,AvgRewardCtrl,AvgRewardFlipped,MinReturn,ProcessExecTime,StdReturn,IRLRewardMean,OriginalTaskAverageReturn,PolicyExecTime,AvgRewardContact,LossBefore,MeanKL,AverageReturn,MaxReturn,EnvExecTime,Iteration,IRLRewardMax,ItrTime,IRLRewardMin,dLoss,MeanKLBefore
10.5176,0.261939933688,0.982539602001,-1219.72351959,20,36961.7,0.906261,1471.7828397750854,-1.08827424049,-0.140014435933,0.0,-4848.6989627,0.07504439353942871,167.894403931,-8.98932,60.0267942339,0.21614527702331543,-0.00187190928744,-1.05176365376,0.00644338829443,-4494.66280048,-4199.76520073,5.330676317214966,212,1.02298,6.031322240829468,-28.4049,0.0365105867386,0.0
10.5064,0.254922281413,0.9600298151,-1226.11791259,20,36548.4,0.905256,1477.7607021331787,-1.08767652512,-0.139846253909,0.0,-5485.56777525,0.07492828369140625,300.81897683,-9.16012,56.5992999576,0.21594977378845215,-0.00187742758846,-1.05063927174,0.00644848775119,-4580.05811991,-3953.23459316,5.321004629135132,213,0.926405,5.971736431121826,-28.1532,0.0370372533798,0.0
10.5042,0.263683053126,0.981044670239,-1235.2935378,20,36468.3,0.905247,1483.7645609378815,-1.08403038979,-0.139616384093,0.0,-4945.53480792,0.07412409782409668,209.427731883,-9.05285,61.1055440909,0.21414756774902344,-0.00185558085135,-1.05041992664,0.00644123088568,-4526.42506301,-4259.99891871,5.306207180023193,214,1.38165,5.999203205108643,-29.1553,0.0336104631424,0.0
10.4782,0.269521774612,0.978710128462,-1232.30889696,20,35533.0,0.902365,1489.7531242370605,-1.09456062317,-0.138611233503,0.0,-4727.59789187,0.07199716567993164,164.752527761,-8.98138,64.5162426999,0.21972107887268066,-0.00187805570912,-1.04782176018,0.00997157767415,-4490.68857219,-4137.02588022,5.3307716846466064,215,1.42917,5.984118938446045,-27.0092,0.0467388629913,0.0
10.4808,0.265771881921,0.985892422483,-1243.15137462,20,35626.5,0.902675,1495.7604897022247,-1.09395802021,-0.139290830004,0.0,-4917.34398246,0.07003164291381836,189.357430414,-9.12327,62.3131157833,0.21502304077148438,-0.0018548203506,-1.04808449745,0.00997487828135,-4561.63669707,-4220.16505641,5.313575744628906,216,0.735639,6.001721382141113,-27.2602,0.0458735227585,0.0
10.4834,0.260871999383,0.934764327197,-1209.29424155,20,35716.1,0.903381,1501.7626838684082,-1.09150731564,-0.140648111194,0.0,-5010.30160415,0.07061910629272461,227.526945341,-8.93774,59.1930529578,0.21563434600830078,-0.00183778227405,-1.04833626747,0.00643999921158,-4468.8683835,-4110.57854491,5.340520620346069,217,1.5127,5.997166633605957,-27.706,0.0431710481644,0.0
10.4795,0.246346339731,0.974200712611,-1236.53091318,20,35580.0,0.902982,1507.745359659195,-1.09463143349,-0.140747038695,0.0,-5295.80998808,0.0696563720703125,248.988515348,-9.07931,51.8886616093,0.21456503868103027,-0.00182197781738,-1.04795396328,0.00992327556014,-4539.6531882,-4164.77940679,5.2978715896606445,218,1.09785,5.9781482219696045,-28.897,0.0466774702072,0.0
10.4841,0.262096503577,0.928148011531,-1227.74921811,20,35741.5,0.903399,1513.7602376937866,-1.09022402763,-0.141188802921,0.0,-4836.52406394,0.07075262069702148,301.354552396,-8.93044,59.529617774,0.2217419147491455,-0.00184846510856,-1.048407197,0.00643092487007,-4465.22112655,-3347.33160072,5.347895383834839,219,1.37013,6.010058164596558,-28.5021,0.0418168306351,0.0
10.4597,0.253133559878,0.977970432354,-1222.50288038,20,34879.7,0.900754,1519.8152859210968,-1.08113491535,-0.14115322588,0.0,-4826.87434043,0.07382869720458984,153.446993143,-8.96219,55.0583552872,0.21565937995910645,-0.00186362342396,-1.04596626759,0.00645158067346,-4481.09538081,-4165.38562107,5.346003770828247,220,1.8143,6.050364255905151,-28.5683,0.0351686477661,0.0
10.441,0.277211232942,0.980808594897,-1220.50111758,20,34233.5,0.898781,1525.7995278835297,-1.0914491415,-0.140275761557,0.0,-4853.66935414,0.07323074340820312,174.916276657,-8.88535,67.548132811,0.2186129093170166,-0.00183920576278,-1.0440955162,0.00995954778045,-4442.67407134,-4198.64490712,5.319915056228638,221,1.1928,5.9786293506622314,-29.6753,0.0473536252975,0.0
10.4726,0.264809479431,0.980971243217,-1234.43005528,20,35332.2,0.90258,1531.8115317821503,-1.08081483841,-0.140720448954,0.0,-4873.39948249,0.07192754745483398,207.165493795,-8.97249,61.1156670416,0.2158527374267578,-0.00185769639437,-1.04725551605,0.00649291928858,-4486.24505368,-4228.33613765,5.317599773406982,222,0.55709,6.007458686828613,-27.4508,0.0335593223572,0.0
10.4551,0.264536081262,0.97122151874,-1227.71642012,20,34719.8,0.900455,1537.792874097824,-1.08524942398,-0.140991304028,0.0,-4993.19851393,0.07429146766662598,198.658063318,-8.98427,60.8495665568,0.2156965732574463,-0.0018456441198,-1.04550635815,0.00640483712777,-4492.13506205,-4224.83488763,5.322174310684204,223,1.45052,5.976750612258911,-28.1352,0.039743065834,0.0
10.449,0.2683363394,0.986571145845,-1222.41797353,20,34508.4,0.899865,1543.795514345169,-1.07788014412,-0.140747382919,0.0,-4663.03333151,0.07195782661437988,116.84489207,-8.86768,62.8806688659,0.21667170524597168,-0.00182761874863,-1.04489564896,0.00652065733448,-4433.83845224,-4196.09505749,5.291024208068848,224,1.09834,5.99715781211853,-27.8542,0.032984495163,0.0
10.4224,0.283272302195,0.981005696531,-1210.45942323,20,33605.0,0.897013,1549.801379442215,-1.08014643192,-0.139993710388,0.0,-4691.67761779,0.07185482978820801,203.111551216,-8.74877,70.7085083152,0.22033429145812988,-0.001861575177,-1.04224336147,0.00646168226376,-4374.38682755,-4074.45997518,5.321512460708618,225,1.95163,6.000671863555908,-29.2754,0.0379030704498,0.0
10.4162,0.278821150699,0.984505172573,-1226.53861968,20,33397.2,0.896104,1555.8339335918427,-1.09088122845,-0.141333092128,0.0,-4890.23346275,0.07218170166015625,151.420368367,-8.88787,67.8060081828,0.21917104721069336,-0.001876042205,-1.0416226387,0.00988914072514,-4443.93604323,-4190.00539887,5.332992076873779,226,1.89844,6.027982473373413,-27.6053,0.0492585897446,0.0
10.4313,0.295285060415,0.986081802531,-1223.6111065,20,33904.8,0.897889,1561.7912209033966,-1.07995414734,-0.139782444995,0.0,-4786.70448765,0.07105350494384766,182.969355963,-8.82511,76.8195044921,0.21334075927734375,-0.00186360643599,-1.04313111305,0.00648805173114,-4412.5561776,-4178.17753047,5.2987141609191895,227,1.32733,5.952656984329224,-27.4211,0.0368230342865,0.0
10.417,0.273930761359,0.980138707288,-1209.1840547,20,33422.1,0.896332,1567.8309953212738,-1.08605277538,-0.141175197099,0.0,-4628.81921434,0.0721590518951416,142.209130786,-8.75684,65.4464728828,0.21576881408691406,-0.00186261849451,-1.04169750214,0.00644925935194,-4378.42240119,-4082.91628474,5.339613437652588,228,1.6001,6.034913778305054,-28.4973,0.0443552732468,0.0
10.4253,0.285634650774,0.967321154692,-1195.20704271,20,33702.1,0.89754,1573.8470237255096,-1.08193540573,-0.140045940697,0.0,-4606.87787944,0.08321905136108398,134.852366881,-8.6344,71.8620766108,0.2232348918914795,-0.00186455685582,-1.04253184795,0.00642215134576,-4317.2005722,-4078.49595469,5.33967924118042,229,2.07344,6.01148533821106,-27.346,0.0394035577774,0.0
10.4018,0.27186696284,0.977100061937,-1207.56843861,20,32919.9,0.895123,1579.8636767864227,-1.07813453674,-0.140955372269,0.0,-4712.55367667,0.07000160217285156,148.333704226,-8.78108,64.5422543971,0.2155604362487793,-0.00182708177682,-1.04018342495,0.00640590069816,-4390.53846227,-4113.02088201,5.314669609069824,230,1.16096,6.012267589569092,-28.2746,0.0379511117935,0.0
10.3898,0.285804238418,0.985042629959,-1206.68741144,20,32527.4,0.893765,1585.8367083072662,-1.0872220993,-0.139851800822,0.0,-4538.92166222,0.07088518142700195,92.4404024513,-8.78046,72.0529046231,0.21671199798583984,-0.00184662835021,-1.03898394108,0.00989464577287,-4390.22940153,-4147.19043756,5.319059133529663,231,1.65692,5.968284606933594,-28.0434,0.048238158226,0.0
10.4073,0.288140945629,0.987006675104,-1206.0724251,20,33099.9,0.895666,1591.8586869239807,-1.0777310133,-0.141642943521,0.0,-4565.12296367,0.07182765007019043,116.401786933,-8.76201,72.3167161242,0.21593332290649414,-0.00186456985919,-1.04072833061,0.0064099165611,-4381.00370325,-4185.80855376,5.309288024902344,232,0.730994,6.017094373703003,-27.7738,0.0370026826859,0.0
10.4086,0.287495894734,0.9840967182,-1213.78009374,20,33142.6,0.896024,1597.806035041809,-1.08797216415,-0.140573422797,0.0,-4810.89031255,0.07133293151855469,177.240347178,-8.76878,72.548321053,0.21595549583435059,-0.00182582983121,-1.04085755348,0.00997704640031,-4384.38958555,-4079.86254276,5.295042991638184,233,0.629841,5.942936658859253,-27.7504,0.047114610672,0.0
10.4101,0.293909674723,0.975404651355,-1202.92816637,20,33192.6,0.895555,1603.8247854709625,-1.07621645927,-0.140990924329,0.0,-4999.26792508,0.07339620590209961,215.380050868,-8.8283,75.5459240473,0.22397732734680176,-0.0018269022985,-1.04100835323,0.00643082661554,-4414.14953165,-4094.46513599,5.310501575469971,234,1.16219,6.014162540435791,-28.4776,0.035208106041,0.0
10.3857,0.292579297565,0.98308768464,-1202.27910119,20,32393.4,0.89294,1609.801254749298,-1.07305526733,-0.139860481313,0.0,-4590.06548823,0.07215046882629395,187.015141905,-8.65502,75.4314676891,0.21667218208312988,-0.00185588087333,-1.03857111931,0.00646398030221,-4327.50966766,-3829.48967928,5.3232691287994385,235,1.20175,5.971329927444458,-27.7265,0.0344841480255,0.0
