GCLAverageExpertLogPtau,Entropy,GCLMedianExpertLogQtau,GCLMedianLogQtau,AvgRewardCtrl,AvgRewardContact,GCLAverageEnergy,ProcessExecTime,PolicyExecTime,AveragePolicyStd,GCLAverageExpertEnergy,GCLLogZ,ExplainedVariance,Iteration,ItrTime,MinReturn,IRLLoss,MeanKLBefore,NumTrajs,LossBefore,EnvExecTime,Perplexity,IRLRewardMin,GCLAverageLogPtau,AverageReturn,AvgRewardFlipped,IRLRewardMax,IRLRewardMean,Time,OriginalTaskAverageReturn,GCLAverageLogQtau,AvgRewardFwd,StdReturn,GCLDiscrimLoss,dLoss,GCLAverageExpertLogQtau,AverageDiscountedReturn,MaxReturn,LossAfter,GCLAverageDtau,GCLAverageExpertDtau,MeanKL
-8.90919,11.3745,-13.0913,-11.0,-0.100312915947,-0.00223912888648,16.0234,0.0909581184387207,0.3402097225189209,1.00326,9.05641,0.0443558,0.977528883572,20,8.460650205612183,-8769.50290442,0.323611,0.0,20,-1.13745164871,6.565926551818848,87074.2,-31.0565,-16.0678,-7707.34077883,0.0,-5.44231,-15.4147,183.28370690345764,-46.5807835936,-11.3415,0.00939047764577,505.582439141,0.323611,0.0605357885361,-13.5723,-1603.11429696,-6736.21924782,-1.19798743725,0.124866,0.885296,0.00996977090836
-8.78136,11.3648,-13.0598,-11.034,-0.100822209848,-0.00218922636773,16.1251,0.09785127639770508,0.32886457443237305,1.00213,8.90423,0.0395344,0.973258927842,21,8.4244384765625,-8710.2939291,0.310554,0.0,20,-1.13648200035,6.5506062507629395,86234.1,-29.2141,-16.1646,-7900.00714209,0.0,-6.01928,-15.8,191.71427750587463,-57.4326590277,-11.357,-0.0118538818397,594.891737632,0.310554,0.04603266716,-13.5574,-1633.62404271,-5936.28373957,-1.18251466751,0.122446,0.889491,0.006566346623
-8.60269,11.3441,-13.102,-11.0196,-0.0995939884302,-0.0022379657629,16.281,0.0925283432006836,0.3388102054595947,0.999532,8.70429,0.0408674,0.980771904974,22,8.366052627563477,-8541.77854252,0.263706,0.0,20,-1.13440823555,6.497661113739014,84464.3,-30.3924,-16.3218,-7828.04810503,0.0,-5.69491,-15.6561,200.08738613128662,-46.8126996577,-11.3372,0.00820655487775,356.953072529,0.263706,0.0644683837891,-13.5934,-1637.19274384,-7182.8610096,-1.19887661934,0.111134,0.896439,0.00989318825305
-8.29568,11.3637,-13.0933,-11.0266,-0.0999939360309,-0.00223432831912,16.3176,0.09929537773132324,0.31874990463256836,1.00194,8.42352,0.0106876,0.978290206493,23,8.363370180130005,-8607.71883535,0.259786,0.0,20,-1.13636755943,6.512219429016113,86135.4,-30.6955,-16.3282,-7953.18537407,0.0,-5.04669,-15.9064,208.45703196525574,-47.9852156494,-11.3459,0.00625783305129,414.741060508,0.259786,0.0473616123199,-13.5814,-1653.79586361,-7036.73824167,-1.18372917175,0.109035,0.906542,0.00645757140592
-8.03558,11.3401,-13.1644,-11.0144,-0.0987504042623,-0.00222311225194,16.1394,0.09041428565979004,0.3189249038696289,0.999036,8.22277,-0.0341797,0.979860709695,24,8.296037435531616,-8501.89584732,0.219406,0.0,20,-1.13401031494,6.4418864250183105,84128.6,-30.0375,-16.1052,-7782.51844811,0.0,-6.10118,-15.565,216.75954818725586,-52.5188507325,-11.3367,-0.00406418495082,410.701065482,0.219406,0.065034031868,-13.6502,-1628.36078345,-6958.12599564,-1.19904434681,0.118999,0.914014,0.00997398793697
-7.72018,11.3579,-13.1386,-11.0488,-0.100173605263,-0.00224246626103,16.269,0.09923100471496582,0.3218221664428711,1.00121,7.90864,-0.0448581,0.977796539978,25,8.386659383773804,-8531.98896885,0.32516,0.0,20,-1.13579022884,6.509244203567505,85638.9,-30.1157,-16.2242,-7819.13522978,0.0,-4.87034,-15.6383,225.15293049812317,-58.9032406272,-11.3685,-0.0153904097307,423.201174602,0.32516,0.0507870912552,-13.6284,-1625.08947558,-7179.49141645,-1.1865773201,0.118196,0.922074,0.00644457247108
-7.97734,11.3725,-13.1054,-11.0307,-0.100473403116,-0.00224297073449,16.4081,0.09941816329956055,0.33669161796569824,1.00309,8.14388,-0.0403465,0.979078037705,26,8.40914011001587,-8645.28250122,0.203844,0.0,20,-1.13725101948,6.541279554367065,86900.0,-32.4835,-16.3677,-7966.57991042,0.0,-5.2964,-15.9332,233.56864619255066,-55.9698519325,-11.3559,-0.00922333001483,359.043790427,0.203844,0.0631849765778,-13.6023,-1652.81036149,-7377.00532341,-1.20043599606,0.10834,0.914376,0.00997420866042
-8.17014,11.3827,-13.0932,-11.031,-0.0994471105939,-0.00221377706958,16.7829,0.09223103523254395,0.3322615623474121,1.00441,8.3345,-0.0565847,0.985346847387,27,8.4129056930542,-8720.27838182,0.26304,0.0,20,-1.13826525211,6.527692556381226,87785.8,-30.7153,-16.7264,-8117.98269651,0.0,-5.13089,-16.236,241.98787546157837,-52.5100229285,-11.3532,-0.00335915819354,308.769578122,0.26304,0.0487320423126,-13.5708,-1704.7143879,-7736.92592669,-1.18699729443,0.0950766,0.906109,0.00639788154513
-7.84341,11.3709,-13.0705,-11.0292,-0.0994423598298,-0.00224793427623,16.6428,0.09674668312072754,0.33664774894714355,1.00299,8.00767,-0.0672635,0.982901207451,28,8.477051019668579,-8440.84540987,0.250849,0.0,20,-1.13709139824,6.556145668029785,86760.8,-31.1612,-16.5756,-8004.74215651,0.0,-5.7388,-16.0095,250.47794032096863,-49.0828032612,-11.3619,0.00352468758368,304.276358599,0.250849,0.0514812469482,-13.5477,-1681.59783074,-7332.5259366,-1.18857264519,0.101428,0.916462,0.0064080641605
-7.56329,11.3703,-12.9701,-11.007,-0.0998982711114,-0.00225074466443,16.5923,0.0924367904663086,0.30793046951293945,1.00289,7.78542,-0.118278,0.985846064219,29,8.375267505645752,-8505.7963624,0.19495,0.0,20,-1.13702905178,6.554911851882935,86707.7,-31.0119,-16.474,-8034.94319196,0.0,-5.32967,-16.0699,258.85977125167847,-56.370740965,-11.3453,-0.0105924661543,305.52415536,0.19495,0.0617960691452,-13.4519,-1688.85231327,-7462.91461754,-1.19882512093,0.100802,0.920684,0.00988817028701
-7.53571,11.3712,-13.0163,-11.0245,-0.100031321986,-0.00225687698841,17.149,0.10303449630737305,0.3262803554534912,1.00299,7.78321,-0.159219,0.983165526724,30,8.404761552810669,-8816.89953089,0.171092,0.0,20,-1.13711929321,6.523963689804077,86785.2,-31.6861,-16.9898,-8345.91525164,0.0,-5.71716,-16.6918,267.27087140083313,-54.8450099164,-11.3645,-0.00740182085829,236.789156136,0.171092,0.0523360967636,-13.4695,-1722.26806417,-7865.28184986,-1.18945538998,0.0820507,0.919193,0.00646749511361
-7.60967,11.3782,-13.018,-11.0104,-0.0996835687583,-0.00224957406411,17.1428,0.09099531173706055,0.3377220630645752,1.00382,7.81179,-0.128374,0.987216647721,31,8.462769031524658,-8781.22967863,0.204377,0.0,20,-1.13782346249,6.563584327697754,87398.5,-29.3298,-17.0145,-8383.27307694,0.0,-4.16937,-16.7665,275.74060916900635,-54.0377530349,-11.3468,-0.00614236324731,248.652273904,0.204377,0.0493491888046,-13.4647,-1741.28415708,-7896.92483854,-1.18717265129,0.0787815,0.912198,0.00646905507892
-7.37989,11.3725,-13.058,-10.9911,-0.0992498488439,-0.00225181617055,17.2525,0.09710526466369629,0.34197998046875,1.00312,7.57784,-0.139234,0.981951611835,32,8.457101583480835,-8752.58442402,0.210523,0.0,20,-1.13725054264,6.556190490722656,86898.9,-33.2914,-17.1133,-8402.68122585,0.0,-5.40225,-16.8054,284.20392537117004,-49.11142297,-11.3286,0.00327881907444,269.121216373,0.210523,0.049653172493,-13.5055,-1720.65832053,-7688.3920269,-1.18690371513,0.0773155,0.920125,0.00647922651842
