AveragePolicyStd,MinReturn,LossBefore,LossAfter,AvgRewardContact,dLoss,PolicyExecTime,AverageDiscountedReturn,StdReturn,ItrTime,Time,AvgRewardFlipped,AvgRewardCtrl,ExplainedVariance,AverageReturn,Perplexity,ProcessExecTime,MeanKL,Entropy,Iteration,AvgRewardFwd,MaxReturn,MeanKLBefore,EnvExecTime,NumTrajs
0.815943,24.5164847458,-0.971005856991,-1.01776361465,-0.00157233741615,0.0467577576637,0.4670698642730713,63.277927663,93.7084426016,14.979130506515503,3104.6388351917267,0.0,-0.119577194346,-2.35779193525,372.770445141,16482.5,0.2584702968597412,0.00641762977466,9.71005,245,0.866690422044,473.047060205,0.0,12.933214664459229,40
0.814898,118.265736734,-0.969991207123,-0.998347878456,-0.00155920617034,0.0283566713333,0.4371664524078369,69.1307550111,84.8327389775,14.692089080810547,3119.337098836899,0.0,-0.120041670347,0.730954760301,389.609388072,16316.2,0.22460246086120605,0.00640373537317,9.69991,246,0.90081965266,495.287531681,0.0,12.828798055648804,40
0.813651,242.238470783,-0.968692660332,-0.994148135185,-0.00153436872048,0.0254554748535,0.291231632232666,69.62430932,43.4450334684,12.17191743850708,3131.515250682831,0.0,-0.120440167272,0.772427496201,416.271834955,16105.7,0.2604403495788574,0.00643327925354,9.68693,247,0.954518205902,498.370646745,0.0,10.423920392990112,40
0.810432,120.210162413,-0.965617179871,-0.998765230179,-0.00154546163615,0.0331480503082,0.36745214462280273,67.6223085062,83.9462586596,13.78809118270874,3145.3077008724213,0.0,-0.118829255069,0.213040668984,391.529918454,15617.8,0.28537464141845703,0.00642753299326,9.65617,248,0.903434553613,504.215175323,0.0,11.98685622215271,40
0.808787,60.5097161317,-0.964057326317,-0.98938447237,-0.00153714459032,0.0253271460533,0.3991584777832031,68.5154005368,69.2866943987,14.698072910308838,3160.0096831321716,0.0,-0.119278405595,0.755223359527,403.380593997,15376.1,0.2638859748840332,0.00647740950808,9.64057,249,0.92757673818,517.951656133,0.0,12.636800289154053,40
0.805694,191.290146604,-0.961016774178,-0.997697293758,-0.00153754596505,0.0366805195808,0.34204721450805664,70.4311677913,56.2715894367,12.962726593017578,3172.979108572006,0.0,-0.118994480562,0.741753775164,409.949535458,14915.7,0.1738729476928711,0.0099357329309,9.61017,250,0.940431097443,504.411457077,0.0,11.382804155349731,40
0.806511,20.2154044083,-0.961794316769,-0.991949141026,-0.00153785552855,0.0301548242569,0.3031959533691406,68.0276335762,88.6874968333,12.715147972106934,3185.698222398758,0.0,-0.119336537781,0.669821138732,403.901562896,15032.1,0.20396757125854492,0.00643482338637,9.61794,251,0.928677519101,546.667053237,0.0,10.902849674224854,40
0.805655,76.3609459282,-0.961073040962,-0.987294912338,-0.00152799977145,0.026221871376,0.34020566940307617,69.2222889364,73.4969333888,12.976602554321289,3198.6812591552734,0.0,-0.118950467512,0.788516729815,401.856917484,14924.0,0.17490077018737793,0.00652026059106,9.61073,252,0.924192302251,492.514332898,0.0,11.390923976898193,40
0.801535,170.897170841,-0.95683068037,-0.993489265442,-0.00154141053576,0.0366585850716,0.30572080612182617,73.3079335479,69.3155588164,12.376921653747559,3211.06267786026,0.0,-0.118638898885,0.724884794091,420.323490517,14304.2,0.16768908500671387,0.00997963547707,9.56831,253,0.960827290455,528.804049988,0.0,10.840003728866577,40
0.802786,330.335377902,-0.958079099655,-0.98085641861,-0.00152714665442,0.0227773189545,0.34253883361816406,71.3736750909,38.7654093649,13.010145425796509,3224.076832294464,0.0,-0.119466151425,0.804124351162,427.007357186,14483.8,0.1755962371826172,0.00651862472296,9.58079,254,0.975008012451,506.472616214,0.0,11.383785963058472,40
